policy,mechanism,seed,n_jobs,energy_kwh,co2_g_it,co2_g_facility,cfe_pct,p50_slowdown,p95_slowdown,p99_slowdown,avg_pue,swf_utilitarian,swf_nash,swf_alpha_0.5,swf_alpha_1.0,swf_alpha_2.0,jain_fairness,n_users,audit_n_over_declared,audit_n_under_declared,audit_total_penalty,audit_nom_ic_violation_rate
SAF,M2,20260522,1994,8810.2425,2140731.1831,2620242.9013,69.8761,3.6379,20.5932,27.5681,1.2009,1.1157,0.0000,4.6723,-919.5568,-44000000024.6018,0.6760,49,0,0,0.0000,0.0000
SAF,M2,20260521,1994,8808.7425,2133445.0521,2611589.9876,70.1695,3.2270,22.3128,30.8211,1.2101,0.4589,0.0000,1.9095,-976.9776,-47000000009.0721,0.6491,49,0,0,0.0000,0.0000
SAF,M2,20260523,1994,8653.3892,2103762.6177,2569329.2441,69.8267,3.3820,20.2060,26.6252,1.2466,4.0179,0.0000,12.8341,-800.5288,-38000000054.1394,0.7027,49,0,0,0.0000,0.0000
SAF,M2,20260524,1994,8663.1896,2098174.7730,2558410.4832,70.1702,3.1032,23.2809,29.1814,1.2729,2.5071,0.0000,7.8749,-879.6281,-42000000041.3410,0.6638,49,0,0,0.0000,0.0000
SAF,M3,20260517,1994,8817.4767,2112645.3614,2608135.0383,71.1399,3.1907,24.2663,30.8354,1.2013,0.7433,0.0000,2.3454,-976.3085,-47000000007.5258,0.6606,49,0,0,0.0000,0.0000
SAF,M3,20260518,1994,8666.5237,2110829.2863,2563463.2309,69.6598,2.8282,25.1976,31.7285,1.2547,0.1507,0.0000,0.7796,-996.6089,-48000000006.6337,0.4012,49,0,0,0.0000,0.0000
SAF,M3,20260519,1994,8811.5925,2149085.6609,2594708.9536,69.5359,4.6753,17.9732,27.0572,1.2404,0.6836,0.0000,2.7305,-958.3013,-46000000019.2175,0.7444,49,0,0,0.0000,0.0000
SAF,M3,20260520,1994,8653.7233,2137079.3075,2583602.1944,68.3926,3.6686,21.0097,28.0878,1.2341,1.5556,0.0000,5.3105,-904.4105,-43000000327.7961,0.6639,49,0,0,0.0000,0.0000
SAF,M3,20260521,1994,8808.7425,2133445.0521,2611589.9876,70.1695,3.2270,22.3128,30.8211,1.2101,0.4589,0.0000,1.9095,-976.9776,-47000000009.0721,0.6491,49,0,0,0.0000,0.0000
SAF,M3,20260522,1994,8810.2425,2140731.1831,2620242.9013,69.8761,3.6379,20.5932,27.5681,1.2009,1.1157,0.0000,4.6723,-919.5568,-44000000024.6018,0.6760,49,0,0,0.0000,0.0000
