country,mw,layer,mechanism,cfe_pct_mean,cfe_lift_pp_mean,cfe_abs_pct_mean,cfe_abs_lift_pp_mean,cfe_canonical_pct_mean,cfe_canonical_lift_pp_mean,cfe_lift_pp_vs_fcfs_mean,cfe_canonical_lift_pp_vs_fcfs_mean,ci_weighted_lift_g_vs_fcfs_mean,co2_avoided_t_y_vs_fcfs_mean,ci_weighted_mean_g,ci_weighted_lift_g_mean,co2_avoided_t_y_mean,delta_facility_pp_mean,jain_mean,p95_mean
FR,10.0000,fsla,M2,52.3923,0.6281,100.0000,0.0000,93.3352,-0.0053,2.0339,0.0012,0.0099,35.3077,53.3188,-0.0420,0.1153,-0.6653,0.7451,156.2092
FR,10.0000,fsla,M3,52.3923,0.6281,100.0000,0.0000,93.3352,-0.0053,2.0339,0.0012,0.0099,35.3077,53.3188,-0.0420,0.1153,-0.6653,0.7451,156.2092
FR,10.0000,fsla,none,51.7641,0.0000,100.0000,0.0000,93.3404,0.0000,1.4057,0.0065,0.0519,35.1924,53.2767,0.0000,0.0000,0.0000,0.7306,172.4286
FR,10.0000,pue,GridPilot-PUE,52.4246,2.0662,100.0000,0.0000,93.3268,-0.0072,2.0662,-0.0072,-0.0573,35.3142,53.3860,-0.0573,35.3142,48.4624,0.8465,148.3841
FR,10.0000,pue,none,50.3584,0.0000,100.0000,0.0000,93.3339,0.0000,0.0000,0.0000,0.0000,0.0000,53.3287,0.0000,0.0000,0.0000,0.7496,159.1382
FR,50.0000,fsla,M0,52.4258,0.6180,100.0000,0.0000,93.3341,-0.0052,2.0463,0.0001,0.0008,175.5832,53.3270,-0.0417,0.5649,-1.6636,0.7538,155.0730
FR,50.0000,fsla,M1,52.4258,0.6180,100.0000,0.0000,93.3341,-0.0052,2.0463,0.0001,0.0008,175.5832,53.3270,-0.0417,0.5649,-1.6636,0.7538,155.0730
FR,50.0000,fsla,M2,52.4258,0.6180,100.0000,0.0000,93.3341,-0.0052,2.0463,0.0001,0.0008,175.5832,53.3270,-0.0417,0.5649,-1.6636,0.7538,155.0730
FR,50.0000,fsla,M3,52.4258,0.6180,100.0000,0.0000,93.3341,-0.0052,2.0463,0.0001,0.0008,175.5832,53.3270,-0.0417,0.5649,-1.6636,0.7538,155.0730
FR,50.0000,fsla,none,51.8078,0.0000,100.0000,0.0000,93.3393,0.0000,1.4283,0.0053,0.0425,175.0182,53.2853,0.0000,0.0000,0.0000,0.6907,170.7893
FR,50.0000,pue,GridPilot-PUE,52.4517,2.0722,100.0000,-0.0000,93.3237,-0.0103,2.0722,-0.0103,-0.0823,175.6089,53.4101,-0.0823,175.6089,48.9284,0.8427,148.0652
FR,50.0000,pue,none,50.3795,0.0000,100.0000,0.0000,93.3340,0.0000,0.0000,0.0000,0.0000,0.0000,53.3278,0.0000,0.0000,0.0000,0.7493,157.9583
IT,1.0000,fsla,M0,61.9929,1.0598,0.0000,0.0000,69.1220,0.0312,2.0719,0.0139,0.1112,17.1261,247.0244,0.2494,0.1449,-0.3931,0.6849,170.4801
IT,1.0000,fsla,M1,61.9929,1.0598,0.0000,0.0000,69.1220,0.0312,2.0719,0.0139,0.1112,17.1261,247.0244,0.2494,0.1449,-0.3931,0.6849,170.4801
IT,1.0000,fsla,M2,61.9929,1.0598,0.0000,0.0000,69.1220,0.0312,2.0719,0.0139,0.1112,17.1261,247.0244,0.2494,0.1449,-0.3931,0.6849,170.4801
IT,1.0000,fsla,M3,61.9929,1.0598,0.0000,0.0000,69.1220,0.0312,2.0719,0.0139,0.1112,17.1261,247.0244,0.2494,0.1449,-0.3931,0.6849,170.4801
IT,1.0000,fsla,none,60.9331,0.0000,0.0000,0.0000,69.0908,0.0000,1.0121,-0.0173,-0.1381,16.9812,247.2737,0.0000,0.0000,0.0000,0.7637,181.0000
IT,1.0000,pue,GridPilot-PUE,62.4754,2.5543,0.0000,0.0000,69.1396,0.0315,2.5543,0.0315,0.2520,17.1952,246.8836,0.2520,17.1952,46.9395,0.8222,158.4067
IT,1.0000,pue,none,59.9210,0.0000,0.0000,0.0000,69.1080,0.0000,0.0000,0.0000,0.0000,0.0000,247.1356,0.0000,0.0000,0.0000,0.8091,172.6894
IT,10.0000,fsla,M0,62.5963,0.7221,0.0000,0.0000,69.0964,-0.0433,2.4082,0.0094,0.0750,162.2210,247.2291,-0.3462,0.9307,-0.5384,0.7430,156.2092
IT,10.0000,fsla,M1,62.5963,0.7221,0.0000,0.0000,69.0964,-0.0433,2.4082,0.0094,0.0750,162.2210,247.2291,-0.3462,0.9307,-0.5384,0.7430,156.2092
IT,10.0000,fsla,M2,62.5963,0.7221,0.0000,0.0000,69.0964,-0.0433,2.4082,0.0094,0.0750,162.2210,247.2291,-0.3462,0.9307,-0.5384,0.7430,156.2092
IT,10.0000,fsla,M3,62.5963,0.7221,0.0000,0.0000,69.0964,-0.0433,2.4082,0.0094,0.0750,162.2210,247.2291,-0.3462,0.9307,-0.5384,0.7430,156.2092
IT,10.0000,fsla,none,61.8742,0.0000,0.0000,0.0000,69.1396,0.0000,1.6861,0.0527,0.4213,161.2903,246.8828,0.0000,0.0000,0.0000,0.7306,172.4286
IT,10.0000,pue,GridPilot-PUE,62.6401,2.4520,0.0000,0.0000,69.0077,-0.0793,2.4520,-0.0793,-0.6344,162.2803,247.9385,-0.6344,162.2803,48.8886,0.8352,147.7199
IT,10.0000,pue,none,60.1881,0.0000,0.0000,0.0000,69.0870,0.0000,0.0000,0.0000,0.0000,0.0000,247.3041,0.0000,0.0000,0.0000,0.7496,159.1382
IT,50.0000,fsla,M0,62.6398,0.7132,0.0000,0.0000,69.0887,-0.0423,2.4264,0.0008,0.0067,806.7150,247.2903,-0.3381,4.5754,-1.6584,0.7538,155.1342
IT,50.0000,fsla,M1,62.6398,0.7132,0.0000,0.0000,69.0887,-0.0423,2.4264,0.0008,0.0067,806.7150,247.2903,-0.3381,4.5754,-1.6584,0.7538,155.1342
IT,50.0000,fsla,M2,62.6398,0.7132,0.0000,0.0000,69.0887,-0.0423,2.4264,0.0008,0.0067,806.7150,247.2903,-0.3381,4.5754,-1.6584,0.7538,155.1342
